,problemId,titleKo,isSolvable,isPartial,acceptedUserCount,level,votedUserCount,sprout,givesNoRating,isLevelLocked,averageTries,official,tag
11830,12992.0,홍준이의 교집합,True,False,19.0,17.0,3.0,False,False,False,2.0,True,"combinatorics,coordinate_compression,flt,math,number_theory,prefix_sum,sweeping,"
11831,12993.0,이동3,True,False,125.0,8.0,9.0,False,False,False,2.368,True,"greedy,math,number_theory,"
11832,12994.0,이동3-2,True,False,31.0,11.0,4.0,False,False,False,2.5806,True,"math,number_theory,"
11833,12995.0,트리나라,True,False,240.0,19.0,34.0,False,False,False,1.8083,True,"dp,dp_tree,trees,"
11834,12996.0,Acka,True,False,664.0,13.0,27.0,False,False,False,1.3584,True,"dp,"
11835,12997.0,철인 2종 경기,True,False,2.0,0.0,0.0,False,False,False,1.5,True,
11836,12998.0,꽃 장식하기,True,False,5.0,0.0,0.0,False,False,False,1.6,True,
11837,12999.0,화려한 마을3,True,False,261.0,20.0,57.0,False,False,False,1.6015,True,"mo,offline_queries,"
11838,13000.0,홍준이와 가능한 집합,True,False,4.0,0.0,0.0,False,False,False,1.5,True,
11839,13001.0,홍준이와 직사각형,True,False,3.0,0.0,0.0,False,False,False,1.6667,True,
11840,13002.0,Happy Cow,True,False,89.0,13.0,13.0,False,False,False,1.7303,True,"dp,"
11841,13003.0,배수열,True,False,66.0,14.0,12.0,False,False,False,2.1515,True,"dp,math,number_theory,"
11842,13004.0,비밀 임무,True,False,6.0,0.0,0.0,False,False,False,4.8333,True,
11843,13005.0,행복한 나무,True,False,19.0,17.0,3.0,False,False,False,1.6842,True,"dfs,graphs,graph_traversal,greedy,trees,"
11844,13006.0,키위쥬스,True,False,33.0,20.0,11.0,False,False,False,2.3636,True,"bitmask,dp,dp_bitfield,"
11845,13007.0,ntopia,True,False,37.0,16.0,9.0,False,False,False,1.2703,True,"combinatorics,flt,math,number_theory,"
11846,13008.0,특수 능력,True,False,20.0,14.0,2.0,False,False,False,4.25,True,"dijkstra,floyd_warshall,graphs,"
11847,13009.0,특수 능력 2,True,False,6.0,21.0,1.0,False,False,False,1.5,True,
11848,13010.0,h(n),True,False,55.0,14.0,19.0,False,False,False,7.4,True,"binary_search,bruteforcing,math,number_theory,"
11849,13011.0,사탕의 밀도,True,False,42.0,10.0,5.0,False,False,False,4.5714,True,"math,ternary_search,"
11850,13012.0,접미사 배열 1,True,False,52.0,17.0,11.0,False,False,False,2.0192,True,"string,suffix_array,"
11851,13013.0,접미사 배열 2,True,False,96.0,16.0,8.0,False,False,False,1.6354,True,"bruteforcing,string,suffix_array,"
11852,13014.0,동혁이의 이동,True,False,6.0,0.0,0.0,False,False,False,1.1667,True,
11853,13015.0,별 찍기 - 23,True,False,2021.0,7.0,36.0,False,False,False,1.5156,True,"implementation,"
11854,13016.0,내 왼손에는 흑염룡이 잠들어 있다,True,False,221.0,16.0,42.0,False,False,False,2.1538,True,"dfs,graphs,graph_traversal,trees,"
11855,13017.0,특이한 수,True,False,2.0,0.0,0.0,False,False,False,2.0,True,
11856,13018.0,특이한 수열,True,False,157.0,12.0,44.0,False,False,False,1.9045,True,"ad_hoc,constructive,math,"
11857,13019.0,A를 B로,True,False,210.0,12.0,31.0,False,False,False,2.2429,True,"greedy,"
11858,13020.0,좋은 집합,True,False,2.0,0.0,0.0,False,False,False,1.0,True,
11859,13021.0,공 색칠하기,True,False,57.0,11.0,7.0,False,False,False,2.0175,True,"math,"
